Address,Content,Status Code,Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,Size,Word Count,Level,Inlinks,Outlinks,External Outlinks,Hash,Response Time,Last Modified,Redirect URI
https://docs.adobe.com/,text/html; charset=iso-8859-1,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,234,0,0,0,1,0,,0.25,,http://docs.adobe.com/content/docs/en/aem/6-2.html
http://docs.adobe.com/content/docs/en/aem/6-2.html,text/html; charset=iso-8859-1,302,Found,,0,0,,0,0,,0,,0,,0,,0,,0,,,,235,0,1,1,1,0,,0.503,,https://docs.adobe.com/content/docs/en/aem/6-2.html
https://docs.adobe.com/content/docs/en/aem/6-2.html,text/html; charset=UTF-8,200,OK,Adobe Experience Manager 6.2,28,253,Adobe Experience Manager 6.2,28,182,,0,Adobe Experience Manager 6.2,28,Adobe Experience Manager 6.2,28,,0,,0,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2.html,28042,411,2,2,79,17,7e9b287559615b85c5e6923ac82725a1,0.257,"Thu, 07 Jul 2016 03:08:21 GMT",
https://docs.adobe.com/docs/en/aem/6-2/author/assets.html,text/html; charset=UTF-8,200,OK,Working with Assets,19,162,Working with Assets,19,119,,0,Adobe Experience Manager 6.2,28,Working with Assets,19,Any questions,13,,0,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/author/assets.html,204315,2764,3,521,729,3,d4b58391136f3b0c821f6083364deac1,0.802,"Thu, 07 Jul 2016 04:07:27 GMT",
https://docs.adobe.com/docs/en/aem/6-2/deploy/troubleshooting.html,text/html; charset=UTF-8,200,OK,Troubleshooting,15,129,Troubleshooting,15,92,,0,Adobe Experience Manager 6.2,28,Troubleshooting,15,Any questions,13,,0,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/deploy/troubleshooting.html,216903,3779,3,454,738,6,bbeacd6d02d33467602b5890c1dc9aef,0.761,"Thu, 07 Jul 2016 04:54:42 GMT",
https://docs.adobe.com/docs/en/aem/6-2/author/authoring-mobile-apps.html,text/html; charset=UTF-8,200,OK,Authoring Mobile Applications,29,237,Authoring Mobile Applications,29,172,,0,Adobe Experience Manager 6.2,28,Authoring Mobile Applications,29,Mobile Apps List Console,24,Control Center Console,22,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/author/authoring-mobile-apps.html,216445,3598,3,459,745,8,5e49b4186466e903962c6c9efe9b906d,1.233,"Thu, 07 Jul 2016 05:28:06 GMT",
https://docs.adobe.com/docs/en/aem/6-2/author/personalization.html,text/html; charset=UTF-8,200,OK,Personalization,15,123,Personalization,15,89,,0,Adobe Experience Manager 6.2,28,Personalization,15,Personalization and Content Targeting,37,Any questions,13,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/author/personalization.html,211635,3278,3,482,753,3,c6d1b3083b4f4c5bc2389546c83bd5a8,1.185,"Thu, 07 Jul 2016 05:28:06 GMT",
https://docs.adobe.com/docs/en/aem/6-2/deploy/configuring.html,text/html; charset=UTF-8,200,OK,Configuring,11,92,Configuring,11,65,,0,Adobe Experience Manager 6.2,28,Configuring,11,Primary Configuration Considerations,36,Further Configuration Considerations,36,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/deploy/configuring.html,239558,5073,3,503,837,5,898d48aa905658d4dc37be6f9b25bb01,1.005,"Thu, 07 Jul 2016 04:52:06 GMT",
https://docs.adobe.com/docs/en/aem/6-2/develop/components.html,text/html; charset=UTF-8,200,OK,Components,10,102,Components,10,73,,0,Adobe Experience Manager 6.2,28,Components,10,What exactly is a Component?,28,Out-of-the-box Components within AEM,36,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/develop/components.html,210232,3207,3,452,746,3,f639b8fef20b045530fdeed75272bfd0,0.256,"Thu, 07 Jul 2016 04:15:29 GMT",
https://docs.adobe.com/docs/en/aem/6-2/administer/content/assets/proxy.html,text/html; charset=UTF-8,200,OK,Configuring a CQ DAM Proxy,26,235,Configuring a CQ DAM Proxy,26,170,,0,Adobe Experience Manager 6.2,28,Configuring a CQ DAM Proxy,26,Any questions,13,,0,"noodp, FOLLOW, INDEX",,http://localhost:4503/docs/en/aem/6-2/administer/content/assets/proxy.html,211661,3257,4,454,738,3,426eb55877747fcdd3e7d7d66b8a6c86,0.521,"Thu, 07 Jul 2016 04:29:38 GMT",
